name,red,green,blue,primary_label,primary_label_encoded
Suntan Glow_0,0.7450980392156863,0.5490196078431373,0.4549019607843137,Blue+Red+Yellow,2
Sunwashed Brick_0,0.8901960784313725,0.7568627450980392,0.7019607843137254,Blue+Red+Yellow,2
Suō_0,0.49411764705882355,0.14901960784313725,0.2235294117647059,Red,5
Super Banana_0,1.0,0.996078431372549,0.44313725490196076,Blue+Red+Yellow,2
Super Black_0,0.13333333333333333,0.06666666666666667,0.0,Neutral,4
Super Gold_0,0.6666666666666666,0.5333333333333333,0.13333333333333333,Red+Yellow,6
Super Hero_0,0.792156862745098,0.3254901960784314,0.3568627450980392,Red,5
Super Leaf Brown_0,0.7294117647058823,0.3686274509803922,0.058823529411764705,Red,5
Super Lemon_0,0.8862745098039215,0.6980392156862745,0.2196078431372549,Red+Yellow,6
Super Pink_0,0.807843137254902,0.4196078431372549,0.6509803921568628,Blue+Red+Yellow,2
Super Rare Jade_0,0.0784313725490196,0.7294117647058823,0.7058823529411765,Blue+Yellow,3
Super Rose Red_0,0.796078431372549,0.06274509803921569,0.1568627450980392,Red,5
Super Saiyan_0,1.0,0.8666666666666667,0.0,Red+Yellow,6
Super Sepia_0,1.0,0.6666666666666666,0.5333333333333333,Blue+Red+Yellow,2
Super Silver_0,0.9333333333333333,0.9333333333333333,0.9333333333333333,Blue+Red+Yellow,2
Super Violet_0,0.47058823529411764,0.37254901960784315,0.5568627450980392,Blue+Red,1
Superior Blue_0,0.22745098039215686,0.3686274509803922,0.45098039215686275,Blue,0
Superior Bronze_0,0.47058823529411764,0.4117647058823529,0.3411764705882353,Red+Yellow,6
Superman Red_0,1.0,0.06666666666666667,0.13333333333333333,Red,5
Supermint_0,0.0,0.5725490196078431,0.5490196078431373,Blue+Yellow,3
Supernatural_0,0.19215686274509805,0.21176470588235294,0.2549019607843137,Neutral,4
Supernatural Saffron_0,0.9372549019607843,0.4627450980392157,0.054901960784313725,Red+Yellow,6
Supernova_0,1.0,0.9725490196078431,0.8509803921568627,Blue+Red+Yellow,2
Supernova Residues_0,0.8509803921568627,0.9254901960784314,0.9137254901960784,Blue+Red+Yellow,2
Superstar_0,1.0,0.8,0.06666666666666667,Red+Yellow,6
Superstition_0,0.3568627450980392,0.43137254901960786,0.4549019607843137,Blue+Yellow,3
Superstitious_0,0.6745098039215687,0.5686274509803921,0.7098039215686275,Blue+Red+Yellow,2
Superwhite_0,0.9098039215686274,0.9176470588235294,0.9176470588235294,Blue+Red+Yellow,2
Support Green_0,0.47058823529411764,0.6392156862745098,0.0,Red+Yellow,6
Supreme Green_0,0.8117647058823529,0.8666666666666667,0.7803921568627451,Blue+Red+Yellow,2
Supreme Grey_0,0.5254901960784314,0.5803921568627451,0.6235294117647059,Blue+Red+Yellow,2
Supreme Pontiff_0,0.8313725490196079,0.8470588235294118,0.8588235294117647,Blue+Red+Yellow,2
Supremely Cool_0,0.6862745098039216,0.7450980392156863,0.8313725490196079,Blue+Red+Yellow,2
Surati Pink_0,0.9882352941176471,0.3254901960784314,0.9882352941176471,Blue+Red,1
Surf_0,0.7215686274509804,0.8313725490196079,0.7333333333333333,Blue+Red+Yellow,2
Surf Crest_0,0.7647058823529411,0.8392156862745098,0.7411764705882353,Blue+Red+Yellow,2
Surf Green_0,0.25882352941176473,0.4588235294117647,0.45098039215686275,Blue+Yellow,3
Surf Rider_0,0.00392156862745098,0.5764705882352941,0.7607843137254902,Blue+Yellow,3
Surf Spray_0,0.7058823529411765,0.7843137254901961,0.7607843137254902,Blue+Red+Yellow,2
Surf the Web_0,0.12549019607843137,0.21568627450980393,0.4980392156862745,Blue,0
Surf Wash_0,0.5294117647058824,0.807843137254902,0.792156862745098,Blue+Red+Yellow,2
Surfndive_0,0.21568627450980393,0.2784313725490196,0.3333333333333333,Neutral,4
Surfs Surprise_0,0.7686274509803922,0.8274509803921568,0.8980392156862745,Blue+Red+Yellow,2
Surfs Up_0,0.7764705882352941,0.8941176470588236,0.9215686274509803,Blue+Red+Yellow,2
Surfboard Yellow_0,0.9882352941176471,0.8549019607843137,0.5372549019607843,Blue+Red+Yellow,2
Surfer_0,0.4392156862745098,0.7215686274509804,0.7294117647058823,Blue+Red+Yellow,2
Surfer Girl_0,0.8588235294117647,0.39215686274509803,0.5176470588235295,Blue+Red,1
Surfie Green_0,0.0,0.4823529411764706,0.4666666666666667,Blue+Yellow,3
Surfin_0,0.45098039215686275,0.7529411764705882,0.8235294117647058,Blue+Red+Yellow,2
Surfside_0,0.6039215686274509,0.792156862745098,0.8274509803921568,Blue+Red+Yellow,2
Surgeon Green_0,0.0,0.6235294117647059,0.4196078431372549,Blue+Yellow,3
Surgical Green_0,0.34901960784313724,0.6431372549019608,0.7568627450980392,Blue+Yellow,3
Surprise_0,0.788235294117647,0.5764705882352941,0.43529411764705883,Blue+Red+Yellow,2
Surprise Amber_0,0.9372549019607843,0.7098039215686275,0.47843137254901963,Blue+Red+Yellow,2
Surrey Cream_0,0.8627450980392157,0.7843137254901961,0.615686274509804,Blue+Red+Yellow,2
Surya Red_0,0.4392156862745098,0.09803921568627451,0.12156862745098039,Red,5
Sushi_0,0.48627450980392156,0.6235294117647059,0.1843137254901961,Red+Yellow,6
Sushi Rice_0,1.0,0.9686274509803922,0.8745098039215686,Blue+Red+Yellow,2
Sussie_0,0.34509803921568627,0.7294117647058823,0.7607843137254902,Blue+Yellow,3
Susu Green_0,0.5333333333333333,0.4980392156862745,0.47843137254901963,Blue+Red+Yellow,2
Susu-Take Bamboo_0,0.43529411764705883,0.3176470588235294,0.2980392156862745,Red,5
Sutherland_0,0.5215686274509804,0.615686274509804,0.5843137254901961,Blue+Red+Yellow,2
Suva Grey_0,0.5333333333333333,0.5137254901960784,0.5294117647058824,Blue+Red+Yellow,2
Suzani Gold_0,0.7607843137254902,0.5882352941176471,0.24705882352941178,Red+Yellow,6
Suzu Grey_0,0.6196078431372549,0.6313725490196078,0.6392156862745098,Blue+Red+Yellow,2
Suzume Brown_0,0.6666666666666666,0.30980392156862746,0.21568627450980393,Red,5
Suzumecha Brown_0,0.5490196078431373,0.2784313725490196,0.21176470588235294,Red,5
Svelte_0,0.7215686274509804,0.6392156862745098,0.7333333333333333,Blue+Red+Yellow,2
Svelte Sage_0,0.6980392156862745,0.6745098039215687,0.5882352941176471,Blue+Red+Yellow,2
Swagger_0,0.09803921568627451,0.7137254901960784,0.7098039215686275,Blue+Yellow,3
Swallow Blue_0,0.08235294117647059,0.28627450980392155,0.3843137254901961,Neutral,4
Swallow-Tailed Moth_0,0.9254901960784314,0.9137254901960784,0.8666666666666667,Blue+Red+Yellow,2
Swamp_0,0.4980392156862745,0.4588235294117647,0.37254901960784315,Red+Yellow,6
Swamp Fox_0,0.7176470588235294,0.615686274509804,0.4117647058823529,Blue+Red+Yellow,2
Swamp Green_0,0.4549019607843137,0.5215686274509804,0.0,Red+Yellow,6
Swamp Mausoleum_0,0.03529411764705882,0.2980392156862745,0.28627450980392155,Neutral,4
Swamp Monster_0,0.0,0.3333333333333333,0.06666666666666667,Neutral,4
Swamp Mosquito_0,0.1450980392156863,0.1843137254901961,0.1843137254901961,Neutral,4
Swamp Moss_0,0.4117647058823529,0.5137254901960784,0.2235294117647059,Red+Yellow,6
Swamp Mud_0,0.5215686274509804,0.4745098039215686,0.2784313725490196,Red+Yellow,6
Swamp of Sorrows_0,0.21176470588235294,0.19215686274509805,0.050980392156862744,Neutral,4
Swamp Shrub_0,0.42745098039215684,0.4588235294117647,0.23137254901960785,Red+Yellow,6
Swampland_0,0.13333333333333333,0.4,0.2,Yellow,7
Swan Dive_0,0.8980392156862745,0.8941176470588236,0.8666666666666667,Blue+Red+Yellow,2
Swan Lake_0,0.7725490196078432,0.8980392156862745,0.8862745098039215,Blue+Red+Yellow,2
Swan Sea_0,0.6509803921568628,0.7568627450980392,0.7490196078431373,Blue+Red+Yellow,2
Swan White_0,0.9686274509803922,0.9450980392156862,0.8862745098039215,Blue+Red+Yellow,2
Swan Wing_0,0.9607843137254902,0.9490196078431372,0.9019607843137255,Blue+Red+Yellow,2
Swanky Grey_0,0.7098039215686275,0.6941176470588235,0.7098039215686275,Blue+Red+Yellow,2
Swanndri_0,0.37254901960784315,0.4745098039215686,0.38823529411764707,Yellow,7
Swans Down_0,0.8549019607843137,0.9019607843137255,0.8666666666666667,Blue+Red+Yellow,2
Sweat Bee_0,0.11372549019607843,0.3058823529411765,0.5607843137254902,Blue,0
Swedish Blue_0,0.0,0.48627450980392156,0.7529411764705882,Blue+Yellow,3
Swedish Clover_0,0.4823529411764706,0.5333333333333333,0.403921568627451,Blue+Red+Yellow,2
Swedish Green_0,0.09411764705882353,0.30196078431372547,0.2627450980392157,Neutral,4
Swedish Yellow_0,0.9882352941176471,0.8784313725490196,0.5058823529411764,Blue+Red+Yellow,2
Sweet & Sour_0,0.788235294117647,0.6666666666666666,0.21568627450980393,Red+Yellow,6
Sweet 60_0,0.9490196078431372,0.6196078431372549,0.6705882352941176,Blue+Red+Yellow,2
Sweet Almond_0,0.8,0.6,0.4666666666666667,Blue+Red+Yellow,2
Sweet Alyssum_0,0.9058823529411765,0.7607843137254902,0.8705882352941177,Blue+Red+Yellow,2
Sweet and Sassy_0,0.8823529411764706,0.788235294117647,0.8196078431372549,Blue+Red+Yellow,2
Sweet and Sour_0,0.7686274509803922,0.7490196078431373,0.043137254901960784,Red+Yellow,6
Sweet Angel_0,0.9607843137254902,0.7843137254901961,0.7333333333333333,Blue+Red+Yellow,2
Sweet Angelica_0,0.9098039215686274,0.8156862745098039,0.5568627450980392,Blue+Red+Yellow,2
Sweet Annie_0,0.611764705882353,0.5803921568627451,0.43137254901960786,Blue+Red+Yellow,2
Sweet Apricot_0,0.9882352941176471,0.7529411764705882,0.6509803921568628,Blue+Red+Yellow,2
Sweet Aqua_0,0.6549019607843137,0.9098039215686274,0.8274509803921568,Blue+Red+Yellow,2
Sweet Ariel_0,0.8980392156862745,0.9176470588235294,0.8901960784313725,Blue+Red+Yellow,2
Sweet as Honey_0,1.0,0.9137254901960784,0.6745098039215687,Blue+Red+Yellow,2
Sweet Baby Rose_0,0.7607843137254902,0.30980392156862746,0.25098039215686274,Red,5
Sweet Bianca_0,0.9333333333333333,0.8549019607843137,0.8666666666666667,Blue+Red+Yellow,2
Sweet Blue_0,0.6823529411764706,0.7450980392156863,0.8235294117647058,Blue+Red+Yellow,2
Sweet Blush_0,0.9019607843137255,0.7490196078431373,0.7568627450980392,Blue+Red+Yellow,2
Sweet Breeze_0,0.7843137254901961,0.8549019607843137,0.8901960784313725,Blue+Red+Yellow,2
Sweet Brown_0,0.6588235294117647,0.21568627450980393,0.19215686274509805,Red,5
Sweet Butter_0,1.0,0.9882352941176471,0.8431372549019608,Blue+Red+Yellow,2
Sweet Buttermilk_0,0.9882352941176471,0.9333333333333333,0.8666666666666667,Blue+Red+Yellow,2
Sweet Carrot_0,0.8,0.4627450980392157,0.30980392156862746,Red+Yellow,6
Sweet Cashew_0,0.8666666666666667,0.6666666666666666,0.4666666666666667,Blue+Red+Yellow,2
Sweet Chamomile_0,1.0,0.8823529411764706,0.5254901960784314,Blue+Red+Yellow,2
Sweet Cherry_0,0.6235294117647059,0.30980392156862746,0.30196078431372547,Red,5
Sweet Cherry Red_0,0.5176470588235295,0.09019607843137255,0.17254901960784313,Red,5
Sweet Chilli_0,0.9607843137254902,0.08627450980392157,0.043137254901960784,Red,5
